meal_id,meal_name,meal_type,calories,protein,carbs,fat,goal,diet_type
1,Oatmeal with Banana,Breakfast,350,10,60,5,Weight Loss,Regular
2,Egg White Omelette with Veggies,Breakfast,280,20,15,10,Weight Loss,Regular
3,Greek Yogurt with Berries,Breakfast,200,15,20,5,Weight Loss,Regular
4,Avocado Toast on Whole Wheat,Breakfast,300,10,25,15,Weight Loss,Vegetarian
5,Smoothie with Spinach and Protein Powder,Breakfast,250,20,30,5,Weight Loss,Regular
6,Chicken Breast with Brown Rice,Lunch,500,40,60,10,Muscle Gain,Regular
7,Grilled Salmon with Quinoa,Lunch,550,45,35,18,Muscle Gain,Regular
8,Lean Beef Burrito Bowl,Lunch,600,45,70,15,Muscle Gain,Regular
9,Tuna Salad Wrap,Lunch,400,35,30,12,Weight Loss,Regular
10,Vegetable Stir Fry with Tofu,Lunch,400,25,50,15,Weight Loss,Vegetarian
11,Turkey Sandwich on Whole Wheat,Dinner,450,30,40,12,Maintenance,Regular
12,Grilled Chicken with Sweet Potato,Dinner,500,40,50,10,Maintenance,Regular
13,Beef Steak with Mashed Potatoes,Dinner,600,50,45,20,Muscle Gain,Regular
14,Salmon with Brown Rice and Veggies,Dinner,550,45,40,18,Muscle Gain,Regular
15,Vegetarian Chili with Beans,Dinner,420,22,55,12,Weight Loss,Vegetarian
16,Apple with Peanut Butter,Snack,200,6,25,10,Weight Loss,Regular
17,Protein Shake with Milk,Snack,250,25,15,5,Muscle Gain,Regular
18,Carrot Sticks with Hummus,Snack,180,6,20,8,Weight Loss,Vegetarian
19,Trail Mix with Nuts and Dried Fruit,Snack,300,10,25,15,Maintenance,Regular
20,Boiled Eggs and Whole Wheat Crackers,Snack,220,12,18,9,Maintenance,Regular
21,Pancakes with Maple Syrup,Breakfast,400,12,60,12,Maintenance,Regular
22,Scrambled Eggs with Cheese,Breakfast,350,20,10,20,Muscle Gain,Regular
23,Cottage Cheese with Pineapple,Breakfast,250,18,20,6,Weight Loss,Regular
24,Overnight Oats with Chia Seeds,Breakfast,320,12,45,9,Weight Loss,Vegetarian
