exercise_id_(pk),exercise_name,equipment,movement_pattern,primary_mover,complexity,focus,split
1,Walking Lunges,Bodyweight,Locomotion,Quads,1,General,legs
2,High Knees,Bodyweight,Locomotion,Quads,1,General,legs
3,Stationary Bike,Cardio Equipment,Locomotion,Quads,1,General,legs
4,Farmer's Carry,Dumbbell,Locomotion,Forearms,1,General,legs
5,Medicine Ball Rotational Throw,Medicine Ball,Rotate,Back,2,General,upper
6,Cable Chop,Cable,Rotate,Obliques,2,General,upper
7,Russian Twist,Kettlebell,Rotate,Obliques,1,General,upper
8,Seated Bar Twist,Bar,Rotate,Obliques,1,General,upper
9,Battle Rope Alternating Waves,Battle Ropes,Anti-Rotate,Shoulders,1,General,upper
10,Pallof Press,Resistance Band,Anti-Rotate,Core,1,General,upper
11,Bird Dog,Bodyweight,Anti-Rotate,Core,1,General,upper
12,Plank,Bodyweight,Anti-Rotate,Core,1,General,upper
13,Ab Wheel Rollout,Ab Wheel,Anti-Rotate,Core,3,General,upper
14,Dumbbell Deadbug Press,Dumbbell,Anti-Rotate,Core,2,General,upper
15,Machine Overhead Press,Machine,Vertical Push,Shoulders,1,Hypertrophy,push
16,Standing Overhead Press,Barbell,Vertical Push,Shoulders,2,Strength,push
17,Dumbbell Overhead Press,Dumbbell,Vertical Push,Shoulders,2,Hypertrophy,push
18,Pike Push-up,Bodyweight,Vertical Push,Shoulders,3,Hypertrophy,push
19,Smith Machine Overhead Press,Machine,Vertical Push,Shoulders,1,Hypertrophy,push
20,Kettlebell Overhead Press,Kettlebell,Vertical Push,Shoulders,1,Hypertrophy,push
21,Dip,Bodyweight,Vertical Push,Chest,3,Hypertrophy,push
22,Resistance Band Overhead Press,Resistance Band,Vertical Push,Shoulders,1,Hypertrophy,push
23,Machine Chest Press,Machine,Horizontal Push,Chest,1,Hypertrophy,push
24,Smith Machine Bench Press,Machine,Horizontal Push,Chest,1,Hypertrophy,push
25,Incline Smith Machine Bench Press,Machine,Horizontal Push,Chest,1,Hypertrophy,push
26,Dumbbell Bench Press,Dumbbell,Horizontal Push,Chest,2,Hypertrophy,push
27,Incline Dumbbell Bench Press,Dumbbell,Horizontal Push,Chest,2,Hypertrophy,push
28,Barbell Bench Press,Barbell,Horizontal Push,Chest,2,Strength,push
29,Incline Barbell Bench Press,Barbell,Horizontal Push,Chest,2,Hypertrophy,push
30,Kettlebell Bench Press,Kettlebell,Horizontal Push,Chest,2,Hypertrophy,push
31,Push-up,Bodyweight,Horizontal Push,Chest,2,Hypertrophy,push
32,Decline Push-up,Bodyweight,Horizontal Push,Chest,3,Hypertrophy,push
33,Diamond Push-up,Bodyweight,Horizontal Push,Triceps,3,Hypertrophy,push
